parent_id,decision,reference_bbls,reference_recorded_area_sqft,document_id,document_date,recorded_date,source_pages,source_url,reason,development_bbls,development_area_sqft,area_basis,reviewed_filing_bbls,reviewed_hdb_bbls,reviewed_retained_bbls,reference_vintage,reviewed_ancillary_jobs,reviewed_physical_transactions,reviewed_original_bbls,reviewed_component_jobs
post_policy__Q01243880-I1,recorded_development_boundary_supported,4097950030;4097950065;4097950085;4097950089;4097950094;4097950098;4097950099;4097950130,111540,2026051400252004,2026-02-26,2026-09-01,4;34-39;45,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026051400252004,"Recorded Parcel A consists of six tentative lots totaling 39,349.50 square feet; Parcel B retains lot 65 for the MTA bus terminal. Companion easement 2026051400252005, page 4, describes approximately six residential buildings; pages 52-53 distinguish residential lot 30 from terminal lot 65. The common block and six-building project support the collective crosswalk to the saved July 2025 MPP 459 filings. The instruments do not name individual DOB jobs. Adopt the observed development boundary; preserve administrative units and dates. This does not establish the exact initial plan layout or wage treatment.",4097950030;4097950085;4097950089;4097950094;4097950098;4097950099,39349.50,recorded_development_area_schedule,4097950098;4097950099;4097957501,4097950098;4097950099;4097957501,4097950065,23v3_1,,,,Q01243880;Q01243899;Q01245408;Q01245449;Q01245454;Q01245455
historical__X00757318,recorded_development_boundary_supported,2032710150;2032710175,59680,2022081800392001,2022-08-16,2022-08-25,1-2;7,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2022081800392001,"The residential deed conveys reconfigured lot 150, formerly old lot 175 and part of old lot 150. Schedule A states 56,048 square feet. Companion school deed 2022081800392002, pages 2 and 6, conveys remaining lot 160 to SCA with 21,809 square feet and complementary boundary courses. The 2022 ZD1, page 1, locates residential building and parking on 150 and school playground on 160. Use the documented residential ground; preserve the school filing as separate-site evidence. The old lot 150 attribute understates its mapped area.",2032710150,56048,recorded_deed_area,,,2032710160,21v3,,,,X00757318
historical__Q00528973,complete_reference_parcel_supported,4002650001;4002650006;4002650013;4002650023,82400,C241256_2022_RIR_2024_SMP,2024-12-12,,SMP13;41;139;147;RIR9;11;53,https://extapps.dec.ny.gov/data/DecDocs/C241256/Work%20Plan.BCP.C241256.2024-12-12.SMP.pdf,"The 2022 DEC remedial investigation identifies a residential tower with an accessory two-story garage. The December 2024 site-management plan locates both on merged lot 13, subsequently divided into 13 and 40. Its recorded schedule gives 82,508.5 square feet within the same street and railway boundary. Retain the 82,400 archival square feet for old lots 1, 6, 13 and 23 once. Treat zero-unit garage Q00541049 as documented ancillary use. No residential units or constituents are added.",4002650013;4002650040,82400,archival_recorded_area,,,,20v8,Q00541049,,,Q00528973
historical__321595145,recorded_development_boundary_supported,3001740018;3001740023;3001740024,16531,NYCIDA_20200512,2020-05-12,,41;49,https://publicmarkets.nyc/sites/default/files/2020-08/IDA%20Board%20of%20Directors%20Meeting%20Minutes%20May%2012%202020.pdf,"NYCIDA assigns approximately 12,603 square feet to the tower ground lease on lot 23 and separates the 26,981-square-foot school/retail site on lot 13. Later MapPLUTO 25v4 records exactly 12,603 for condominium 7502. Adopt the observed tower footprint within old lots 18, 23 and 24. The 2025 second residential phase B01019417 occupies separate lot 1 and remains in the filing evidence. The 2020 design differs from the later building; it supplies no unit or filing-date override.",3001740023,12603,agency_ground_lease_area_corroborated_by_mappluto,3001747502,3001747502,3001740001;3001740013,18v2_1,,,,321595145
historical__B00646589,recorded_development_boundary_supported,3072690001,71139,2022052000544001;2022052000328001,2022-05-12,2022-06-01,Residential1;3;School1;3,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2022052000544001;https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2022052000328001,"Separate May 2022 deeds assign residential lot 1 west of school lot 50. Their legal schedules describe the shared 241.61-foot boundary in opposite directions. Residential parallel sides of 284.57 and 241.61 feet, separated by a 205.17-foot course at 90 degrees 6 minutes 42.1 seconds, yield 53,978.07 square feet, agreeing with current PLUTO 53,978. Adopt that observed residential ground. Preserve school job B00775071 as a separate-site observation; the earlier unsplit lot includes both uses.",3072690001,53978,successor_recorded_area_checked_against_legal_dimensions,,,3072690050,21v1,,,,B00646589
post_policy__Q01288509-I1,complete_reference_parcel_supported,4005390037;4005390038,5000,40053920230504140802;40053920250917153758,2023-05-04;2025-09-17,,1;1,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/40053920230504140802;https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/40053920250917153758,"The 2023 DOF map shows two 25-by-100-foot lots, 37 and 38. The September 2025 map combines them into one 50-by-100-foot lot 37 before the October 6 filing. DOF records 5,000 square feet; both 27-28 and 27-30 21 Street geocode to 37. DOB retains obsolete lot 38 and HDB uses successor 37. The saved full-site and nearby-filing checks find no competing job on this ground. Sum the two archival areas once.",4005390037,5000,archival_recorded_area,4005390038,4005390037,,23v3_1,,,,Q01288509
historical__M00558120,recorded_development_boundary_supported,1002470001;1002470002,145031,NYCOER_22CVCP033M_final_RAWP,2021-12,,1;8;58,https://a002-epic.nyc.gov/api/files/fe116c51-ed94-ec11-81c3-005056b05749/download,"The final NYC OER work plan names DOB job M00558120-I1 on its cover and identifies lot 2 as the 41,479-square-foot site for two towers over one podium. It states that DOF approved adding approximately 10,138 square feet from north-adjacent lot 1. The September 2021 investigation records the earlier lot 2 at 31,341 square feet, which plus the addition equals 41,479. Figure 2 draws the development boundary and excludes retained buildings on lot 1. Adopt the documented site area, corroborated by later DOF; preserve administrative units and filing date.",1002470002,41479,agency_documented_lot_reconfiguration_area,,,1002470001,20v8,,,,M00558120
post_policy__Q01254595-I1,complete_reference_parcel_supported,4006690036;4006700004;4006700047,39003,2026082500424001;2026082500424009,2026-08-05,,4001:13;16|4009:1-4;31-35,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026082500424001;https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026082500424009,"MIH declaration assigns old lots 4 and 47 to exact Site A job Q01254595 and 330 units. Joint mortgage names both Site A and Site B borrowers, all three parcels and both exact jobs; joint acquisition financing predates the consecutive-day filings. Combine the 330 and 99 administrative units. Count complete archival ground 25787+13216=39003 once, retaining each parcel own FAR and all earlier building area.",4006690036;4006700004;4006700047,39003,archival_recorded_area,4006690036;4006700004,4006690036;4006700047,,23v3_1,,,,Q01254580;Q01254595
post_policy__Q01337462-I1,recorded_development_boundary_supported,4034660058,13218,2026050800329001;2026050800329002,2026-03-27,,Easement3-4;27;29;Declaration3,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026050800329001;https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026050800329002,"The agreement assigns the new building to Developer Land, new lot 30 formerly within lot 58. The architect certificate names lot 30 as the Development Site; its rights chart prints 9,309.60 square feet, agreeing with DOF recorded area 9,310. The companion declaration distinguishes residual lot 58 on Myrtle Avenue. Adopt the documented building ground and exclude residual lot 58 and donor lot 23. The rights chart density is not an administrative unit count; retain the saved 62-unit filing and preserve that comparison for unit review.",4034660030,9310,successor_recorded_area_checked_against_recorded_area_chart,4034660030,4034660058,4034660023;4034660058,23v3_1,,,,Q01337462
historical__121207504,recorded_development_boundary_supported,1017730020;1017730027,78769,NYCOER_East125_202110_RAWP,2021-10,,6;24;91,https://extapps.dec.ny.gov/data/DecDocs/C231160/Application.BCP.C231160.2021-11-09.RAWP%20.pdf,"The October 2021 NYC OER work plan states that portions of earlier lots 20 and 27 became the 42,540-square-foot lot 27 in August 2021. Its June 2021 S9 site plan names DOB 121207504 and locates the building on the eastern parcel, with western lot 20 explicitly vacant. A later ALTA survey in the 2025 DEC work plan measures 42,540.1 square feet for this same ground. Adopt the observed building site and exclude the retained western parcel; preserve the saved 614 units and April 2020 filing date.",1017730027,42540,agency_documented_site_corroborated_by_survey,,,1017730020,20v1,,,,121207504
historical__M00641741,recorded_development_boundary_supported,1019840001;1019840028,547265,NYCHA_Manhattanville_20221017,2022-10-17,,Closing announcement;DOF land information,https://nychanow.nyc/nycha-closes-on-transfer-of-manhattanville-development-rights-to-adjacent-site/,"NYCHA documents a closed transfer of 12,500 square feet of ground to the existing private 1440 Amsterdam parcel, separately from 280,000 square feet of development rights. The archival private lot 28 is 12,490. DOF split campus lot 1 into retained 1 plus lots 10 and 30; 22v1 records the latter at 10,000 and 2,500, and a later DOF merger combines 10, 28 and 30 into 28. Its final assessment area is 24,990, exactly 12,490 plus 12,500. Assign this observed ground; exclude the retained campus and preserve administrative units and date.",1019840028,24990,successor_recorded_area_corroborated_by_agency_land_transfer,,,1019840001,21v1,,,,M00641741
historical__M00536051,recorded_development_boundary_supported,1010770029,57027,NYCHPD_21HPD031M_20220323_EAS,2022-03-23,,19;21;32;40;Council33,https://zap-api-production.herokuapp.com/document/artifact/sites/nycdcppfs/dcp_artifacts/2019M0374%20-%20Certified%20EAS_21HPD031M%20-%201_A6CF3F6831ACEC11B3FE001DD804D73E/21HPD031M_Certified_EAS_03232022.pdf,"The certified EAS distinguishes the western housing development site at approximately 21,923 square feet from the 47,027-square-foot whole project. Figure 1-1 maps that partition; the Council project summary identifies housing disposition lot 29 and easement lot 35. Final DOF assessment gives housing lot 29 as 21,924 and retained DEP lot 35 as 25,104. Use the successor administrative area, preserving the one-square-foot difference from the EAS. The earlier 57,027 attribute overstates the official whole-parcel area; development rights and light/air easements do not transfer the retained open-space ground.",1010770029,21924,successor_recorded_area_corroborated_by_agency_defined_site,,,1010770035,20v8,,,,M00580473
historical__321595403,complete_reference_parcel_supported,3011290050;3011290100,116535,2019021300759011,2019-02-13,,4;10-11;ESD20251118page6,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2019021300759011,"The recorded agreement defines B12 and B13 as the two TFC development premises on old lots 100 and 50. Their legal rectangles are 212 by 255 and 245 by 255 feet, totaling 116,535 square feet exactly. DOF maps show those two parcels at filing and their subsequent merger. ESD identifies B12 and B13 together at 595 Dean with 419 and 379 units, matching the saved 798-unit job collectively. Preserve the existing administrative count and date. The later condo parcel captures only part of the filing-era two-building ground; use the complete earlier premises once, including their common development land.",3011290050;3011290100,116535,archival_recorded_area,3011297503,3011297503,,18v2_1,,,,321595403
historical__210181079,recorded_development_boundary_supported,2037300001,344900,2021063001174002,2021-06-24,2021-07-08,3-4;9,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021063001174002,"The executed NYCHA/Casa Celina lease memorandum defines the leased premises by Exhibit A. Its legal courses yield approximately 12,613.61 square feet after subtracting the circular segment, consistent with the successor administrative area of 12,613 and the 2020 board authorization of approximately 12,614. Use the administrative lot area within that verified lease boundary, excluding residual NYCHA campus and separate light/air or drainage easements. Later NYCHA budget prose says 9,400 without a supporting boundary; that discrepancy remains recorded, but the executed legal description governs this adjudication. Saved HDB/DOB both identify successor lot 39.",2037300039,12613,successor_recorded_area_corroborated_by_executed_ground_lease,,,2037300001,19v2,,,,210181079
historical__B00664860,recorded_development_boundary_supported,3020850001,355013,2023071200021002;2023071200021004,2023-07-07,2023-07-27,1002:3;7;9|1004:10,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2023071200021002,"The LIU/RXR development memorandum defines the mixed-use tower premises as lot 15, gives the legal boundary in Exhibit A and maps the Phase II site in Exhibit B. The companion license prints lot 15 area 28,650.6 square feet, consistent with the DOF administrative area of 28,650; its wider campus construction protections do not enlarge building ground. HDB/DOB lot 15 and the DOF 324-residential-unit, one-building record crosswalk the observed filing to this ground. Keep the full mixed-use tower ground once and exclude retained campus lot 1.",3020850015,28650,successor_recorded_area_corroborated_by_development_agreement,,,3020850001,21v1,,,,B00664860
historical__321593986,recorded_development_boundary_supported,3011900029;3011900045;3011900050,55083,2019091301137002;2019091301137001,2019-08-12,2019-09-16,7002:3-5|7001:4-6,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2019091301137002,"The zoning declaration names exact job 321593986 and defines tentative lot 29 from old lots 29 and 45 plus part of 50. Its legal courses and diagram match the December 2019 DOF successor boundary, including excluded residual lot 50 and out-parcels 46/48. Adopt the successor administrative area 55,385, whose one-building DOF record has 569 residential units matching HDB. The approximate course-area check of 54,954 assumes orthogonal street axes; no inspected instrument prints that as a surveyed area. Preserve the approximately 0.8 percent measurement difference without substituting polygon or whole-old-lot area.",3011900029,55385,successor_recorded_area_for_documented_exact_job_boundary,,,3011900050;3011900046;3011900048,18v2beta,,,,321593986
historical__M00600672,recorded_development_boundary_supported,1007510001,393100,2022122800734016,2022-12-22,2023-01-06,1;3;7,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2022122800734016,"Executed Penn South ground lease demises lot20 to 335 Eighth Avenue Owner LLC. Exhibit A bounds a 247 by 163 foot rectangle, exactly 40261 square feet, agreeing with the successor administrative lot. Exclude the retained cooperative campus. The lease documents the observed development ground; it does not establish that the later conveyance preceded the October 2021 filing.",1007510020,40261,successor_recorded_area_corroborated_by_ground_lease,,,1007510001,21v1,,,,M00600672
historical__210181747,recorded_development_boundary_supported,2031900001,46563,2021070800201002;2021070800201004,2021-06-30,2021-07-29,DEED3;6|MLEA3;9,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021070800201002,"Church deed and housing ground lease define the same stepped lot10 boundary. Eight recorded courses with their stated angles enclose approximately 17774.63 square feet, matching the successor administrative 17775. The lease names Concern St James HDFC and CHP St James. Separate light-and-air easements over retained church land do not add its ground. These 2021 instruments establish observed building ground after the July 2020 filing.",2031900010,17775,successor_recorded_area_corroborated_by_deed_and_ground_lease,,,2031900001,20v3,,,,210181747
historical__Q00657653,recorded_development_boundary_supported,4099990001,60138,NYDOS_Sutphin_B_BOA_20240607,2024-06-07,,4-5;30;DOF20230131,https://dos.ny.gov/2024-06-07-final-94-15-sutphin-blvd-final-boa-application-proofs-delivery-dos,"Applicant identifies one 24-story building occupying all of retained lot1, separate from neighboring lot40. DOF January31 2022 apportionment precedes both February8 filings. Final DOF areas 30071 and30067 sum to archival 60138. Use lot1 administrative 30071 rather than applicant approximate 30047. Physical ground is established; the same-day related-developer economic-parent question remains explicitly unresolved.",4099990001,30071,successor_recorded_area_corroborated_by_applicant_site_plan,,,4099990040,21v1,,,,Q00657653
historical__Q00657656,recorded_development_boundary_supported,4099990001,60138,NYDOS_Sutphin_A_BOA_20230406,2023-04-06,,4;DOF20230131,https://dos.ny.gov/147-35-95th-avenue-boa-conformance-application,"Applicant identifies one 24-story building occupying all of lot40 at 30067 square feet, agreeing with DOF. The prefiling apportionment partitions old 60138 into 30067 and retained 30071. Count only this building lot pending economic-parent adjudication; the neighboring building on retained lot1 is separately flagged.",4099990040,30067,successor_recorded_area_corroborated_by_applicant_site_plan,,,4099990001,21v1,,,,Q00657656
post_policy__B01318629-I1,recorded_development_boundary_supported,3046020001;3046020005,324502,2026070900638021,2026-06-30,2026-07-22,4;30-33;37|HCR195-196;201|DEC31,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026070900638021,"Agreement assigns 92709-square-foot Parcel A to Kingsbrook Phase I building and courtyard, plus 12673-square-foot developer lot2 for open parking. Official DEC application describes the 402-unit U-shaped building on approximately 92700; HCR board book identifies the same address/developer/402-unit project and includes 28 surface parking spaces and their income. Adopt 105382 for current development ground including ancillary parking; exclude 23363 reserved Phase II Parcel B and 195658 retained hospital/nursing-home land. HDB oldlot5 is an ancestor identifier. The nearly 3-acre acquisition includes future-phase land and is not the current building opportunity.",3046020002;3046020003,105382,recorded_phase_I_ground_plus_ancillary_parking,3046020003,3046020005,3046020001;3046020004;3046020005,23v3_1,,,,B01318629
historical__B00698115,recorded_development_boundary_supported,3051330014;3051350053,187527,2024121600204001,2024-12-09,2024-12-20,3-4;13-14,https://extapps.dec.ny.gov/data/DecDocs/C224384/Easement.BCP.C224384.2024-12-20.Recorded%20EE.pdf,"The four contemporaneous filings form the documented 877-unit Bedford Square development. Recorded west deed descriptions allocate 43,413.10 and 73,457.69 square feet to housing lots 44 and 46, excluding retained Sears lot 14. DOF transaction 147303 partitions the entire earlier east lot 53 between the two east DOB jobs; count its 21v1 area of 60,650 once. Combined ground is 177,520.79. The 76-square-foot difference from later east areas is a vintage measurement difference. Production membership and land implemented September 21, 2026. Retained Sears keeps all 175,875 square feet of west pre-existing building area; the east source lot contributes 14,946. DOF transaction 99999 (November 14, 2023) corrects lot 46 length. The inspected successor map and December 2024 recorded deed description establish that corrected parcel; this named transaction is resolved by the reviewed allocation.",3051330044;3051330046;3051350029;3051350053,177520.79,recorded_west_boundary_and_complete_archival_east_lot,,,3051330014,21v1,,99999,,B00698115;B00698117;B00698118;B00722009
historical__B00604543,recorded_development_boundary_supported,3024940006;3024940010,24084,2021070601644010,2021-06-24,2021-07-19,39;45-46;52;OER159-160,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2021070601644010,Recorded agreement separates conveyed Lot 6 Land of 9011 square feet from retained 2703-square-foot street land and describes adjoining lot 10 at 11890. January 2022 NYC OER fact sheet 22VCP034K explicitly identifies 16 Dupont / Greenpoint Landing E1 / Greenpoint Landing Lot 6 LLC / lots 6 and 10 as the 40-story building site and outlines its ground (CB1 February 8 minutes PDF159-160). Adopt legal sum 20901; OER rounds to 20900 and later DOF records 20890. The 21v1 lot-6 area12194 predates this allocation. Development-rights transfers to other sites do not add ground.,3024940006;3024940010,20901,recorded_legal_area,,,,21v1,,,,B00604543
historical__210180819,recorded_development_boundary_supported,2028650134;2028650162,55100,2022031800654005,2022-03-09,2022-03-29,3-9,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2022031800654005,"The declaration describes the combined old lots 134 and 160 and their repartition into new phase lots 134 and 160 with the same outer perimeter; page 8 excludes retained lots 129 and 162. The joint 570-unit development occupies later administrative ground of 30,879 plus 39,184 square feet. Old reference area fields are inconsistent. The exact old lot 162 contribution is 44.5 by 100 = 4,450 square feet, leaving 65,613 for old 134. Retained lot 162 keeps all its 33,750 square feet of old floor area; old 134 contributes 80,370. Production membership and land implemented September 21, 2026. This is reconstructed development ground, not a certified February 2020 surveyed area.",2028650134;2028650160,70063,later_administrative_area_with_recorded_boundary,,,2028650129;2028650162,19v2,,,,210180819;210180828
historical__321387021,recorded_development_boundary_supported,3024720002;3024720021,122891,2022012501219001,2022-01-12,2022-02-09,2-3;6-7|HPD7011:2;6;9|HPD7012:2;6;9,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2022012501219001,"Confirmatory deed identifies the present lot-21 premises and prints 106018 square feet from the October 5 2018 Langan survey. Official map overlays show retained lot 2 in old 2 and retained lot 3 in old 21; archival 64068 + 58823 minus retained 9565 + 7308 equals 106018 exactly. HPD agreements and the three DOB jobs identify the 745-unit phase. DOF transaction 83289 merged old 2 and 21 as step one of the December 20 2018 apportionment; transaction 83294 then created 2/3/21 and cites the same October 5 survey. The reviewed survey boundary therefore resolves that named merger, without assigning retained ground or other Subparcel D phases to this parent. Production allocation implemented September 21 2026. The named unusual transactions are 84181 (March 1 2019 lot-face correction), 86750 (October 3 paper-street removal), and 87034 (October 15 paper-street correction). Official maps effective July 25, October 4, October 15 2019 and April 22 2020 retain the same lot-21 outer perimeter; the 2022 confirmatory deed describes it from the 2018 survey, including the southern Eagle Street centerline boundary. These cartographic changes add no ground to the adopted premises. This resolves physical-site measurement without asserting prefiling extinguishment of street rights.",3024720021,106018,recorded_survey_area_reconciled_to_archival_parcels,,,3024720002;3024720003;3024720010,18v1_1,,87034;86750;84181,,321387021;321387076;321387147
historical__220700873,recorded_development_boundary_supported,2036270001,553463,2020102600056002;2020042000191003,2020-10-13,2020-11-16,Declaration3-4;9;11|Agreement3-4,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2020102600056002;https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2020042000191003,"Recorded zoning declaration assigns 1580 Story to lots 1 and 10 under Boynton Properties LLC. Their 21v1 areas sum to 151992 + 51918 = 203910. The April 2020 agreement and deed separate cooperative parcels 25/45, while the declaration assigns southern 35/36 to a different address and owner. A shared parking obligation across 1/10/35/36 does not convey all four lots to this building. The original whole northern parcel legal description measures about 276733; the 18v2beta field 553463 double counts its extent. Use the documented development ground and preserve original units, date, floor area and zoning. Production implemented September 21 2026; later documents establish observed ground without backdating title.",2036270001;2036270010,203910,successor_recorded_area_with_recorded_development_boundary,,,2036270025;2036270045;2036270035;2036270036,18v2beta,,,,220700873
