parent_id,neighbor_job,review_decision,review_note
historical__Q00646746,Q00646756,Same wider development; phase boundary unresolved,Astoria Cove filings share date and sponsor across two existing parents. Public phase documents support a wider development; whether the four filings form one decision or separate phases remains unresolved.
historical__Q00646746,Q00713110,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__Q00646754,Q00646746,Same wider development; phase boundary unresolved,Astoria Cove filings share date and sponsor across two existing parents. Public phase documents support a wider development; whether the four filings form one decision or separate phases remains unresolved.
historical__Q00646754,Q00646751,Same wider development; phase boundary unresolved,Astoria Cove filings share date and sponsor across two existing parents. Public phase documents support a wider development; whether the four filings form one decision or separate phases remains unresolved.
historical__Q00702943,Q00660436,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__Q00702943,Q00713110,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__S00661661,S00563710,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__S00661661,S00661600,Missing companion supported; unit vintage unresolved,"Public February 2022 reporting identifies all three same-day Madison/FXCollaborative jobs, including S00661600 at 8 Stuyvesant. The October 29, 2021 city technical memorandum describes the common three-building site and a modified 625-unit program. Recommend common membership but hold the 799-unit saved sum from interpretation as the original choice. Contemporaneous filing reporting totals 637 (126+216+295), versus saved 126+393+280. See report/ten_case_deep_review.md for sources and limits."
historical__X00561795,X08028724,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__B00738795-I1,B01282383,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__B01172199-I1,B01178945,Missing companion supported,"The August 2025 DEC amendment documents one owner, Bergen St Equity LLC, and reapportionment into 270, 280, 290-298 Bergen and 265 Wyckoff. It names Katz/Developing NYS, matching saved DOB sponsorship. Recommend adding job B01178945 for economic-parent membership: 99+99+99+70=367 using saved units. This is not a determination of legal wage assessment. See report/ten_case_deep_review.md for sources and limits."
post_policy__B01268437-I1,B01295381,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__B01278364-I1,B01209356,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__B01278364-I1,B01399120,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__B01305637-I1,B01200175,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__B01305637-I1,B01287171,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__B01305637-I1,B01377276,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__B01305637-I1,B01415308,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__B01312761-I1,B01411828,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__B01328440-I1,B01294089,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__B01348890-I1,B01249210,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__B01348890-I1,B01257744,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__B01350174-I1,B01372886,Missing companion supported,"All three March 19, 2026 DOB descriptions list development lots 21, 28 and 29. The 2025 revised DEC application documents the common assemblage at 172 Third and 264 Butler under affiliated Goose entities, before the three-building filings. Recommend adding B01372886 at 278 Butler: 95+95+90=280. Earlier environmental and financing plans use different configurations; they do not validate a frozen decision-date count. See report/ten_case_deep_review.md for sources and limits."
post_policy__B01390326-I1,B01252041,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__B01390326-I1,B01341355,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__B01390326-I1,B01373413,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__B01390326-I1,B01373634,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__B01390326-I1,B01408961,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__B01390326-I1,B01408963,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__B01408961-I1,B01252041,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__B01408961-I1,B01267863,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__B01408961-I1,B01373413,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__B01408961-I1,B01373634,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__B01408961-I1,B01390326,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__B01408961-I1,B01390458,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__B01408961-I1,B01390460,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01177691-I1,Q01177738,Missing companion strongly supported; address crosswalk incomplete,"Commercial Observer explicitly groups 137/155 Beach 30th with 139 Beach 29th as a 230-unit Hirsch development. ZAP 2026Q0143 independently groups the two Beach 30th buildings on one zoning lot and includes saved lot 44. 139 Beach 29th is a strong economic-parent addition. ZAP approval covers the two Beach 30th buildings, not all three. Exact 147/155 job-to-address mapping remains incomplete because the linked approval package did not open. See report/ten_case_deep_review.md for sources and limits."
post_policy__Q01177691-I1,Q01179923,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01177691-I1,Q01180281,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01177691-I1,Q01180363,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01177691-I1,Q01180427,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01177691-I1,Q01180447,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01177691-I1,Q01180490,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01177691-I1,Q01180517,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01177691-I1,Q01180530,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01177691-I1,Q01208170,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01177691-I1,Q01208339,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01177691-I1,Q01209534,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01177691-I1,Q01209550,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01177691-I1,Q01209570,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01177691-I1,Q01209618,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01177691-I1,Q01209780,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01177691-I1,Q01210838,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01177691-I1,Q01211084,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01189789-I1,Q01289631,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01189789-I1,Q01289649,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01189789-I1,Q01372175,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01206649-I1,Q01328092,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01207697-I1,Q01261212,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01261189-I1,Q01177738,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01261189-I1,Q01179923,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01261189-I1,Q01180281,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01261189-I1,Q01180363,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01261189-I1,Q01180427,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01261189-I1,Q01180447,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01261189-I1,Q01180490,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01261189-I1,Q01180517,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01261189-I1,Q01180530,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01261189-I1,Q01216113,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01278129-I1,Q01203592,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01278129-I1,Q01274353,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01278129-I1,Q01351121,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01283772-I1,Q01285795,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01288130-I1,Q01254580,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01288130-I1,Q01254595,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01288130-I1,Q01275800,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01288130-I1,Q01332594,Missing companion supported,"OER identifies 35-11 42nd as Building 2 on block 671 lot 10, with a separate 68-unit residential structure. City Record names Buildings 1, 2 and 3, consistent with shared Heartfelt/Joel Weiss and JFA in saved DOB. Recommend adding Q01332594: 99+67+68=234. The 42-08/42-10 Building 1 alias and common approved unit schedule should be retained in the plan-level crosswalk. See report/ten_case_deep_review.md for sources and limits."
post_policy__Q01288130-I1,Q01412354,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01288130-I1,Q01416407,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01288130-I1,Q01416408,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01288130-I1,Q01424030,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01331303-I1,Q01150703,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__Q01388823-I1,Q01412354,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__S01328926-I1,S01365430,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__X01150556-I1,X01150558,Common sponsor; boundary unresolved,1660 Boone shares Vaja/Moses Freund and Leandro Dickson with the current East 173/Boone pair. It is across the street; common financing or project evidence is needed. Its existing link to 1674 is questionable.
post_policy__X01150556-I1,X01229428,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__X01150558-I1,X01150556,Common sponsor; boundary unresolved,1006 East 173 shares Vaja/Moses Freund and Leandro Dickson with 1660 Boone across the street. The current 1660/1674 parent itself has conflicting sponsors.
post_policy__X01150558-I1,X01288603,Common sponsor; boundary unresolved,1563 Boone shares Vaja/Moses Freund and Leandro Dickson with 1660 Boone. Establish project boundaries before regrouping these filings.
post_policy__X01178424-I1,X01172496,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__X01202004-I1,X01272418,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__X01222893-I1,X01252589,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__X01223342-I1,X01223350,Missing companion supported; unit vintage unresolved,October 2025 OER plans (4121 and 4133 RAWP p77) explicitly show all three addresses at 99 units each; arithmetic 5+10*7+4*6=99. March 2026 ownership statement identifies lots 27/31/35 together. Proposed 297 supported; first-filed/approved units not settled because saved I1 is 98+97+99. See detailed review section 8.
post_policy__X01233373-I1,X01147288,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__X01233373-I1,X01198370,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__X01233373-I1,X01260540,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__X01252512-I1,X01219259,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__X01279257-I1,X01290994,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__X01279257-I1,X01310666,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__X01279257-I1,X01316073,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__X01283025-I1,X01281848,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__X01301172-I1,X01304247,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__X01301172-I1,X01323944,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
post_policy__X01338717-I1,X01266624,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
