sample,parent_id,expected_component_jobs,reference_vintage,reference_bbls,reference_recorded_area_sqft,development_area_sqft,excluded_building_area_sqft,prior_site_use,area_basis,review_source,review_basis,review_date,built_floor_area_estimated
historical,historical__420665845,420665845;420665952,18v2beta,4024320008;4024320009;4024320021;4024320041;4024320044;4024320050,71862,71862,0,,archival_recorded_area_matching_official_two_building_site,https://extapps.dec.ny.gov/data/DecDocs/C241235/Agreement.BCP.C241235.2019-10-11.Executed%20BCA.pdf;https://extapps.dec.ny.gov/data/DecDocs/C241235/Work%20Plan.BCP.C241235.2021-11-30.Site%20Management%20Plan%20%28SMP%29%20-%20Final.pdf,Executed BCA pp. 1 3 and 7 names both addresses and the complete six-lot predecessor boundary. SMP p. 14 states 71862 square feet and identifies the two-building redevelopment. The six 18v2beta administrative areas sum exactly to 71862; recorded building area totals 24126. All six lots have residential and broad FAR 5.0. Preserve their mixed administrative use and all six source lots.,2026-09-21,FALSE
post_policy,post_policy__X01201390-I1,X01201390-I1;X01202536-I1,23v3_1,2057000078,17670,18441,8215,,successor_recorded_area_checked_against_legal_dimensions,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2026071500691002;https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20570020251119112812,Agreement pp. 4 and 6-7 assigns the 99- and 65-unit buildings to successor lots 79 and 88 and the existing commercial building to retained lot 78. Legal descriptions pp. 25 and 27 corroborate successor areas 12541 and 5900. Exclude all 8215 square feet of frozen 23v3_1 building area because it lies on retained lot 78; preserve the old R6 FAR and land-use fields on the reconstructed 18441-square-foot residential ground.,2026-09-21,FALSE
post_policy,post_policy__Q01254595-I1,Q01254595-I1;Q01254580-I1,23v3_1,4006690036,13216,13216,0,,archival_recorded_area,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2026082500424009;https://thedomaincos.com/portfolio/elara/,"Joint mortgage pp. 1-4 and 31-35 covers both Elara sites, legally describes lot 36, and names exact Site B job Q01254580-I1. Count complete fixed-vintage lot 36 once with all 13850 square feet of prior floor and its own FAR fields.",2026-09-21,FALSE
post_policy,post_policy__Q01254595-I1,Q01254595-I1;Q01254580-I1,23v3_1,4006700004,10020,10020,0,,archival_recorded_area,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2026082500424001;https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2026082500424009;https://thedomaincos.com/portfolio/elara/,MIH declaration pp. 13 and 16 assigns lots 4 and 47 to exact Site A job Q01254595 and its 330 units. Joint mortgage pp. 1-4 and 31-35 covers both Elara sites and names both exact jobs. Count complete fixed-vintage lot 4 once with all 9900 square feet of prior floor and its own FAR fields.,2026-09-21,FALSE
post_policy,post_policy__Q01254595-I1,Q01254595-I1;Q01254580-I1,23v3_1,4006700047,15767,15767,0,,archival_recorded_area,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2026082500424001;https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2026082500424009;https://thedomaincos.com/portfolio/elara/,MIH declaration pp. 13 and 16 assigns lots 4 and 47 to exact Site A job Q01254595 and its 330 units. Joint mortgage pp. 1-4 and 31-35 covers both Elara sites and names both exact jobs. Count complete fixed-vintage lot 47 once with all 15700 square feet of prior floor and its distinct FAR fields.,2026-09-21,FALSE
historical,historical__210180533,210180533;210180542,19v1,2023190037;2023190155,40347,24880,69357,mixed_prior_use,successor_administrative_area_with_prefiling_site_plan,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2020090200965004;https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2020090200965011,Recorded development agreement p.4 defines developer ground as lots38/39/155; p.9 provides ancillary uses on155. Easement p.3 names both exact DOB jobs and excludes retained37 except for emergency egress. The June6 2019 PhaseI plan in DEC FER AppendixD p.184 maps the same included ground. Successor20v5 areas10157+9425+5298 total24880. Preserve19v1 zoning on old37/155. Old37 floor83936 reconciles exactly to retained37 floor69357 plus included14579 in20v5; old155 has zero floor. Included successor uses are industrial/transport/vacant rather than the residential retained37 category. Whole reference area40347 is19 square feet above the successor union; no proportional floor allocation.,2026-09-21,FALSE
historical,historical__Q00528973,Q00528973,20v8,4002650001;4002650006;4002650013;4002650023,82400,82400,0,,archival_recorded_area,https://extapps.dec.ny.gov/data/DecDocs/C241256/Report.BCP.C241256.2022-08-15.RIR.pdf;https://extapps.dec.ny.gov/data/DecDocs/C241256/Work%20Plan.BCP.C241256.2024-12-12.SMP.pdf,"RIR pp. 9-11 identifies the complete four-lot 82400-square-foot site, its five existing buildings, and the residential tower plus accessory garage. SMP pp. 13 and 41 locates both new structures within the same boundary. Preserve all four homogeneous-FAR source lots, commercial-industrial use and 201558 recorded prior floor; the later 82508.5 survey area is comparison evidence.",2026-09-21,FALSE
historical,historical__B00646589,B00646589,21v1,3072690001,71139,53978,0,,successor_recorded_area_checked_against_legal_dimensions,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2022052000544001;https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2022052000328001,"Residential deed pp. 1 and 3 and school deed pp. 1 and 3 establish complementary successor parcels. The residential legal dimensions reproduce the 53978 successor administrative area. The frozen old lot has zero building floor, R6 residential FAR 2.43, broad FAR 4.8 and vacant-land use. Preserve the school as a separate site.",2026-09-21,FALSE
historical,historical__M00558120,M00558120,20v8,1002470001;1002470002,145031,41479,657592,parking,agency_documented_lot_reconfiguration_area,https://a002-epic.nyc.gov/api/files/fe116c51-ed94-ec11-81c3-005056b05749/download,Final OER work plan pp. 1 8 19 and 58 names exact job M00558120 and maps the 41479-square-foot expanded lot2 separately from retained lot1 buildings. The September 2021 investigation p. 8 says old lot2 was an asphalt parking lot with no structures and gained 10138 square feet from lot1. Exclude all 657592 recorded lot1 floor and classify the development ground as parking; both reference lots have residential and broad FAR 10.,2026-09-21,FALSE
historical,historical__321595403,321595403,18v2_1,3011290050;3011290100,116535,116535,0,,archival_recorded_area,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2019021300759011,"Recorded memorandum pp. 4 and 10-11 defines B13 old50 and B12 old100 as 245-by-255 and 212-by-255 rectangles, totaling116535. ESD identifies B12 and B13 together as the two 595 Dean buildings totaling the saved798 units. Both filing-era source lots have zero floor, residential FAR0, broad FAR2.4 and vacant-land use.",2026-09-21,FALSE
historical,historical__321593986,321593986,18v2beta,3011900029;3011900045;3011900050,55083,55385,0,,successor_recorded_area_for_documented_exact_job_boundary,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2019091301137002;https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2019091301137001,"Zoning declaration pp. 3-5 names exact job321593986 and constructs successor29 from old29 and45 plus part of50; certificate pp. 4-6 repeats the boundary. Adopt successor administrative area55385. All three source lots have zero floor, residential and broad FAR3 and vacant-land use, so the 302-square-foot mismatch needs no invented internal allocation.",2026-09-21,FALSE
historical,historical__M00536051,M00580473,20v8,1010770029,57027,21924,0,,successor_recorded_area_corroborated_by_agency_defined_site,https://zap-api-production.herokuapp.com/document/artifact/sites/nycdcppfs/dcp_artifacts/2019M0374%20-%20Certified%20EAS_21HPD031M%20-%201_A6CF3F6831ACEC11B3FE001DD804D73E/21HPD031M_Certified_EAS_03232022.pdf,"Certified HPD EAS pp.19 and21 distinguishes the approximately21923 western housing site from retained eastern open space. Successor DOF area21924 measures that documented boundary. Whole20v8 reference has zero floor, R8 residentialFAR6.02 and broadFAR6.5; retain its administrative vacant-land use. The source whole-parcel57027 area differs from official47027; the source check retains57027 while development ground uses21924.",2026-09-21,FALSE
historical,historical__X00757318,X00757318,21v3,2032710150;2032710175,59680,56048,0,,recorded_deed_area,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2022081800392001;https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2022081800392002;https://www.pincusco.com/property-data/ZD1_X00757318_1.pdf;https://www.nyc.gov/assets/bronxcb8/pdf/2022/Proposed-PS_160-VCPS-BX-EAF-Supp-Report-rev-61622.pdf,"Residential deed pp. 1-2 and 7 defines successor lot150 at 56048 square feet from old175 and part of old150; school deed pp. 2 and 6 conveys the complementary western lot160. SCA study physical pp. 32 and 75 (web text indexes P31 and P74) identifies the western school site as paved parking and places the former church, school and parsonage east on the remainder. Exact-job ZD1 p. 1 puts the residence on150 and school playground on160. Retain both homogeneous-FAR reference lots and all 17040 recorded prior floor on residential ground.",2026-09-21,FALSE
post_policy,post_policy__B01268544-I1,B01268544-I1,23v3_1,3072740025,57000,20000,10200,,recorded_legal_dimensions,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026080700950002;https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026080700950005,Agreement p.3 and survey p.21 place the existing church building wholly on retained new lot25 and the developer land on new lot30. Declaration p.6 defines new lot30 as a200-by-100-foot rectangle within old lot25. Exclude all10200 square feet of frozen old-lot25 floor; retain old R6 FAR and public/transport/utility use on the reconstructed ground.,2026-09-21,FALSE
post_policy,post_policy__B01206874-I1,B01206874-I1,23v3_1,3023150033,12450,7237.85,11800,,calculated_from_recorded_legal_dimensions,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026060300664002,Agreement pp.4-5 separates retained church lot33 from developer lot133; p.48 supplies the legal courses used for7237.85 square feet. Survey p.51 labels the shaded existing two-story brick structure as retained Tax Lot33 and draws the proposed tower on133. Exclude all11800 frozen square feet; retain old M1-2/R6 FAR and public/transport/utility use.,2026-09-21,FALSE
post_policy,post_policy__B01297622-I1,B01297622-I1;B01333932-I1,23v3_1,3082350342,77600,44200,33350,,recorded_legal_dimensions,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026022500765005,"Agreement p.4 separates retained ParcelA lot342 from developer ParcelB lots340/341. ExhibitB p.35 gives the two rectangles totaling44200; parking/site plan p.37 draws the existing one-story building on retained342 and the two proposed buildings on340/341. Exclude all33350 frozen square feet; retain 2023 R5 residential FAR 1.25, broad FAR 2, and public/transport/utility use.",2026-09-21,FALSE
post_policy,post_policy__X01230263-I1,X01230263-I1;X01273665-I1,23v3_1,2030680088;2030680089;2030680090,7287,7287,0,,archival_recorded_area,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2025112100418005;https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026020500129001,Recorded agreement p.4 and Exhibits pp.26-30 define the developer parcel as complete old lots88/89/90 and exclude owner lot81 and old lot87. The live January zoning diagram pp.2 and6 consolidates old88/89/90 into new88. Preserve all8648 square feet of frozen prior residential floor and old R7-1 FAR on the7287-square-foot archival union; only replacement job X01273665-I1 is additive.,2026-09-21,FALSE
post_policy,post_policy__Q01177691-I1,Q01177691-I1;Q01177738-I1;Q01222315-I1,23v3_1,4158210046;4158220044;4158220048,52817,47365.13,0,,recorded_development_area_schedule,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2025071800009001;https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026061000055018,"Easement pp.5-10 and27/29 and declaration pp.3-4/9/11 separate three developer apartment parcels from fifteen retained small-house parcels. All three frozen reference rows have zero floor, R5 residentialFAR1.25, broadFAR2 and vacant-land use, so the partial partition requires no floor or heterogeneous-FAR allocation.",2026-09-21,FALSE
post_policy,post_policy__Q01288509-I1,Q01288509-I1,23v3_1,4005390037;4005390038,5000,5000,0,,archival_recorded_area,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/40053920230504140802;https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/40053920250917153758,"DOF maps show the two complete25-by-100-foot old lots combined into one50-by-100-foot successor before filing. Count all5000 square feet once and retain both old rows' full2000 square feet of floor, R7X FAR5 and public/transport/utility use.",2026-09-21,FALSE
historical,historical__M00641741,M00641741,21v1,1019840001;1019840028,547265,24990,1291359,mixed_prior_use,successor_recorded_area_corroborated_by_agency_land_transfer,https://nychanow.nyc/nycha-closes-on-transfer-of-manhattanville-development-rights-to-adjacent-site/,NYCHA separates 12500 square feet of transferred land from 280000 square feet of air rights. After the split retained lot1 keeps all1291359 old floor; included lots10/28/30 each have zero floor before the new building and comprise parking plus vacant land.,2026-09-21,FALSE
historical,historical__210181079,210181079,19v2,2037300001,344900,12613,335129,,successor_recorded_area_corroborated_by_executed_ground_lease,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2021063001174002,Lease ExhibitA p9 bounds the 12613-square-foot project parcel. In21v3 retained lot1 preserves all335129 old floor while new lot39 records zero floor before the 205-unit building enters later data. Leave use override blank and preserve the19v2 archive category: the later vacant code follows site preparation and the reviewed documents do not divide the earlier grass/parking uses within the leased parcel.,2026-09-21,FALSE
historical,historical__B00664860,B00664860,21v1,3020850001,355013,28650,722990,,successor_recorded_area_corroborated_by_development_agreement,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2023071200021002;https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2023071200021004,"Development memorandum pp3/7/9 defines lot15 as the tower land and the license p10 gives28650.6 square feet. Before lot15 enters with zero floor, retained lot1 floor579404 plus separate lot100 floor143586 exactly accounts for all722990 old floor. Keep the old lot08 public/utility category rather than infer vacancy from the later parcel.",2026-09-21,FALSE
historical,historical__M00600672,M00600672,21v1,1007510001,393100,40261,1433917,commercial_industrial,successor_recorded_area_corroborated_by_ground_lease,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2022122800734016,Lease pp1/3/7 bounds the247-by-163 project ground. Successor retained lot1 floor1433917 plus project lot20 floor56026 exactly equals old floor1489943; Penn South says the project replaced the all-commercial corner building.,2026-09-21,FALSE
historical,historical__321595145,321595145,18v2_1,3001740018;3001740023;3001740024,16531,12603,13740.242800616019,,agency_ground_lease_area_corroborated_by_mappluto,https://publicmarkets.nyc/sites/default/files/2020-08/IDA%20Board%20of%20Directors%20Meeting%20Minutes%20May%2012%202020.pdf;https://infohub.nyced.org/docs/default-source/default-document-library/deis__ecf_80_flatbush_avenue_part2.pdf;https://infohub.nyced.org/docs/default-source/default-document-library/deis__ecf_80_flatbush_avenue_part3.pdf,"Jacob approved a flagged floor estimate on September 21. NYCIDA pp. 41 and 49 distinguishes 12603-square-foot tower ground from the school. Keep all 2450+15640 floor on old lots 23 and 24. Allocate old lot 18 floor 35580 by its mapped overlap 0.613821169178864, giving included floor 39929.757199384 and excluded floor 13740.242800616. DEIS Part 2 p. 118 describes the three-story lot-18 building and Part 3 p. 1 photographs it. Equal floor density across lot 18 is an explicit approximation, not a measured partition; preserve frozen zoning and commercial use. No housing units or filing dates change.",2026-09-21,TRUE
historical,historical__121207504,121207504,20v1,1017730020;1017730027,78769,42540,34386.72060594155,,agency_documented_site_corroborated_by_survey,https://extapps.dec.ny.gov/data/DecDocs/C231160/Application.BCP.C231160.2021-11-09.RAWP%20.pdf,"User approved flagged floor estimate. OER 2021 RAWP pp. 6/24 identifies parts of earlier lots 20/27 becoming 42540 square feet; p. 91 names DOB 121207504. Allocate frozen floor within each earlier parcel by its geometric overlap share: 64363*0.4918719297 + 20860*0.9193636807 = 50836.28. Full-precision shares used. Uniform floor density within each old parcel is assumed, not measured. Retain frozen zoning and prior-use categories.",2026-09-21,TRUE
historical,historical__210181747,210181747,20v3,2031900001,46563,17775,9350,,successor_recorded_area_corroborated_by_deed_and_ground_lease,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021070800201002;https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021070800201004,"User approved flagged later administrative floor proxy. Recorded deed p. 6 and lease p. 9 bound lot 10; courses enclose 17774.63, agreeing with administrative 17775. Use housing parcel floor 3650 from 21v3 and 22v1 before the new building appears. Retained church 7650 plus housing 3650 differs from 20v3 frozen floor 13000 by 1700; source correction versus physical change is unresolved. Excluded amount 9350 is an accounting residual, not a measured retained church floor. Preserve 20v3 zoning/use.",2026-09-21,TRUE
post_policy,post_policy__Q01337462-I1,Q01337462-I1,23v3_1,4034660058,13218,9310,5516.376456347405,,successor_recorded_area_checked_against_recorded_area_chart,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026050800329001;https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026050800329002,"User approved flagged proportional floor estimate: 18658*9310/13218 = 13141.624. Agreement pp. 3/27 identifies developer lot 30; p. 29 gives 9309.60 surveyed area consistent with administrative 9310. Exclude retained 58 and air-rights donor 23. FY2028 DOF floor appears on both successor lots (9310 and 3908), but totals 5440 below the old two-story record. Old second-story location remains uncertain; uniform earlier floor density is assumed. Preserve 2023 zoning/use.",2026-09-21,TRUE
post_policy,post_policy__Q01243880-I1,Q01243880-I1;Q01243899-I1;Q01245408-I1;Q01245449-I1;Q01245454-I1;Q01245455-I1,23v3_1,4097950030;4097950065;4097950085;4097950098;4097950099;4097950130,88365,39349.5,12250.50525563152,,recorded_legal_area_with_plan_based_floor_estimate,https://a836-acris.nyc.gov/DS/DocumentImageView?doc_id=2026051400252004;https://a836-acris.nyc.gov/DS/DocumentImageView?doc_id=2024081600593002,"User approved flagged estimate on September 22. Recorded 2026 declaration pp. 34-39/45 separates residential Parcel A (39349.50) from MTA terminal. Allocate each frozen parcel BldgArea using above-cellar floor-plan shares inside the 62-foot frontage boundary and corner return. 2024 condo plans pp. 5-6/14-20 locate ground floors, rear mezzanines, second floor and roof stair; Old lots 89/94 are wholly outside the housing ground and excluded from the six contributing reference parcels. Their 23175 ground and 17220 floor remain in the broader eight-parcel audit only. Lots 98/99 use administrative building depths of 70/80 feet. Estimated included floor 40342.49474436848. Approximate footprint/mezzanine dimensions, uniform depth density for 98/99, comparable earlier structures, and similar spatial shares for unmeasured cellar floor are assumed. Preserve frozen zoning and prior-use categories.",2026-09-22,TRUE
post_policy,post_policy__B01318629-I1,B01318629-I1,23v3_1,3046020001;3046020005,324502,105382,362538.9995707671,,recorded_legal_area_with_building_schedule_floor_estimate,https://a836-acris.nyc.gov/DS/DocumentImageView?doc_id=2026070900638021;https://hcr.ny.gov/vital-brooklyn-sites-e-l-attachment-4;https://extapps.dec.ny.gov/data/DecDocs/C224448/Application.BCP.C224448.2025-06-24.Phase%20I%20ESA%20.pdf;https://extapps.dec.ny.gov/data/DecDocs/C224448/Work%20Plan.BCP.C224448.2026-06-01.RAWP.pdf,"User approved flagged estimate on September 22. Recorded agreement pp. 30-33/37 assigns Phase I 92709 plus parking 12673; exclude future Phase II and retained hospital. Corrected HCR 2018 plans p. 9 give 214280 gross floor including basements for Leviton/Masin/Blumberg/LeFrak. June 2025 ESA pp. 10/12-13/37 records 11600 plant footprint and cellar. Tracing July 2021 survey (2026 RAWP p. 130) against legal courses gives 47.916507118% inside Phase I. Add 5558.314825693 per ground/cellar floor and 662.370777847 for half the intersecting mezzanine bay: total 226059.0004292329. Full cellar footprint, half-bay mezzanine coverage and unchanged earlier pavilion floor are assumptions. Excluded field is an accounting residual from frozen 588598, not measured retained floor. HCR gross area including cellars is a documented substitute whose exact comparability with PLUTO is unproved. Preserve frozen zoning/use.",2026-09-22,TRUE
post_policy,post_policy__B01320823-I1,B01320823-I1,23v3_1,3031830007;3031830071,12590,12590,0,,archival_recorded_area,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026030200076003,Recorded agreement pp.2-6 and 25 assigns the complete earlier lots 7 and 71 to the development; lots 6/19/23 supply rights only. Apply the supported physical site and both frozen 2023 floor records (1100 in lot 7 and zero in lot 71). Earlier job 321590541 remains a separate unresolved proposal-role question in the audit; this land correction does not declare it withdrawn or alter filing dates or membership.,2026-09-22,FALSE
